Tempo, Tensão LDR 1, Tensão LDR 2
41689,1009,1011
41739,1009,1011
41790,1010,1011
41840,1008,1011
41891,1009,1011
41942,1009,1011
41993,1010,1011
42043,1008,1011
42093,1009,1011
42144,1009,1011
42194,1009,1011
42246,1009,1011
42296,1009,1011
42347,1009,1011
42397,1009,1011
42448,1010,1011
42499,1009,1011
42550,1009,1011
42600,1009,1011
42651,1009,1010
42701,1009,1011
42753,1009,1011
42803,1009,1011
42854,1009,1011
42904,1009,1011
42955,1010,1012
43005,1009,1011
43056,1010,1011
43107,1010,1012
43157,1010,1011
43208,1009,1011
43258,1009,1011
43310,1009,1011
43360,1010,1011
43411,1009,1011
43461,1009,1011
43512,1009,1011
43563,1010,1011
43614,1009,1011
43664,1009,1011
43715,1009,1011
43765,1009,1011
43816,1008,1011
43867,1009,1011
43917,1009,1011
43968,1009,1011
44018,1009,1011
44069,1010,1011
44120,1009,1011
44171,1009,1011
44221,1009,1011
44272,1009,1012
44322,1009,1011
44374,1009,1011
44424,1009,1011
44475,1009,1011
44525,1009,1011
44576,1009,1011
44626,1009,1012
44678,1009,1011
44728,1009,1011
44779,1009,1011
44829,1009,1011
44879,1009,1011
44931,1009,1011
44981,1009,1012
45032,1009,1012
45082,1009,1011
45133,1009,1012
45184,1009,1011
45235,1009,1011
45285,1009,1012
45336,1009,1011
45386,1009,1011
45437,1009,1010
45488,1010,1012
45539,1009,1011
45589,1009,1011
45640,1009,1011
45690,1010,1012
45742,1009,1011
45792,1009,1011
45842,1009,1011
45893,1009,1011
45943,1009,1011
45995,1010,1011
46045,1010,1010
46096,1010,1011
46146,1010,1011
46197,1009,1012
46247,1008,1011
46299,1009,1011
46349,1009,1011
46400,1009,1011
46450,1009,1011
46501,1010,1011
46552,1010,1011
46603,1009,1011
46653,1009,1011
46703,1009,1011
46754,1008,1011
46804,1009,1012
46856,1009,1011
46906,1009,1011

46957,1009,1011
47007,1010,1012
47058,1009,1011
47109,1009,1011
47160,1009,1011
47210,1009,1011
47261,1009,1011
47311,1009,1011
47363,1009,1011
47413,1010,1011
47464,1009,1011
47514,1008,1011
47565,1009,1011
47616,1008,1012
47666,1009,1011
47717,1009,1012
47767,1009,1011
47818,1008,1010
47868,1009,1011
47920,1010,1011
47970,1009,1011
48021,1009,1010
48071,1010,1012
48122,1009,1012
48173,1008,1011
48224,1009,1011
48274,1009,1012
48325,1009,1011
48375,1008,1011
48427,1009,1011
48477,1010,1011
48527,1009,1012
48578,1009,1011
48628,1010,1010
48679,1009,1012
48730,1009,1012
48781,1009,1012
48831,1009,1011
48882,1009,1011
48932,1009,1011
48984,1010,1011
49034,1009,1011
49085,1009,1011
49135,1009,1011
49186,1009,1011
49236,1010,1011
49288,1009,1011
49338,1009,1011
49389,1008,1012
49439,1010,1011
49489,1008,1011
49541,1009,1011
49591,1009,1011
49642,1009,1011
49692,1009,1012
49743,1009,1011
49794,1009,1011
49845,1009,1011
49895,1009,1011
49946,1009,1012
49996,1008,1011
50048,1009,1011
50098,1009,1011
50149,1009,1011
50199,1009,1011
50250,1009,1011
50300,1009,1011
50351,1010,1011
50402,1010,1011
50452,1009,1012
50503,1009,1011
50553,1009,1011
50605,1008,1011
50655,1009,1011
50706,1009,1011
50756,1009,1011
50807,1009,1012
50857,1010,1012
50909,1008,1011
50959,1009,1011
51010,1009,1011
51060,1009,1011
51111,1009,1011
51162,1009,1012
51213,1009,1011
51263,1009,1011
51313,1009,1011
51364,1010,1012
51415,1009,1011
51466,1010,1012
51516,1009,1011
51567,1009,1011
51617,1009,1011
51668,1009,1011
51719,1009,1011
51770,1009,1011
51820,1009,1011
51871,1010,1011
51921,1010,1012
51973,1009,1011
52023,1009,1012
52074,1010,1011
52124,1009,1011
